restaurantID,name_standard,cuisine_standard,style_standard,city_standard,location_standard,paymentsSummarystr_standard
735891,il libertino,italian,cosy,aveiro,aveiro,credit card mastercard visa
802202,the iron duke gastropub,european,lunch,aveiro,aveiro,mbway mbway credit card
754781,restaurante clandestino by salpoente,varied,central location,aveiro,aveiro,credit card mastercard visa
752503,san marco,italian,central location,aveiro,aveiro,credit card mastercard visa
76432,imperial,portuguese,traditional,aveiro,aveiro,american express credit card mastercard visa
590181,pizaria do nosso bairro by nos,pizzeria,central location,aveiro,aveiro,american express credit card mastercard visa
672451,porta 36,mediterranean,after work,aveiro,aveiro,credit card visa visa electron
724851,pizzaria feira dos,varied,bistronomic,aveiro,murtosa,credit card mastercard visa
726346,porta 35,international,after work,aveiro,aveiro,credit card mastercard visa visa electron
413953,necas house,portuguese,good for families,aveiro,aveiro,credit card mastercard visa
711314,lobby business restaurant,mediterranean,cosy,aveiro,aveiro,american express credit card mastercard visa
806404,plazza forneria,pizzeria,after work,aveiro,gafanha da nazare,mbway mbway credit card mastercard visa visa electron
713320,manjar de helena,portuguese,cosy,aveiro,agueda,credit card diners club card mastercard visa
753431,restaurante buzios pousada da ria,portuguese,birthday,aveiro,torreira,american express mbway mbway credit card maestro card visa
743557,santos,grilled,good for families,aveiro,sao jacinto,credit card mastercard visa
743274,pateira,varied,cosy,aveiro,fermentelos,credit card mastercard visa visa electron
630877,restaurante sao pedro in gold hotel,european,after work,aveiro,agueda,american express apple pay cash credit card diners club card mastercard visa
749207,costa do sal boat lounge,mediterranean,cosy,aveiro,gafanha da encarnacao,credit card mastercard visa
591923,bacalhau afins,portuguese,central location,aveiro,aveiro,credit card mastercard visa
64774,salpoente,international,author,aveiro,aveiro,american express mastercard visa
801266,pizza vinho agueda,italian,good for families,aveiro,barro,mbway mbway credit card
755026,mimo il gusto italiano,italian,cosy,aveiro,gafanha da encarnacao,credit card mastercard visa
703683,aurora by vitor veloso,portuguese,author,loule,loule,credit card visa
511735,olivola ristorante,italian,after work,loule,loule,bancontact mbway mastercard visa
729152,umai gastrobar sushibar,international,birthday,loule,loule,mbway mbway
750478,oliwander,mediterranean,author,loule,loule,mbway mbway credit card maestro card mastercard visa visa electron
805663,pizzaria luzzo loule,pizzeria,after work,loule,loule,credit card maestro card mbway visa electron
710519,bica velha,mediterranean,author,loule,loule,mbway mbway
808058,eat thai craft bar,thai,after work,loule,loule,mbway mbway credit card maestro card mastercard visa
753640,flor da praca,portuguese,after work,loule,loule,mbway mbway credit card maestro card mastercard visa visa electron
626757,quinta,international,author,loule,loule,credit card mastercard visa visa electron
389671,11 da villa,portuguese,good for families,loule,loule,credit card mastercard visa
727932,retiro do campones,portuguese,author,loule,loule,mbway mbway
489485,la gioconda loule,italian,after work,loule,loule,credit card mastercard visa
560545,el cartel,mexican,after work,loule,loule,credit card mastercard visa
800809,simona bom paladar,international,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
685275,wine bistro,portuguese,after work,loule,quarteira,credit card mastercard visa visa electron
594635,united kitchens of india,indian,cosy,loule,quarteira,credit card mastercard visa
741367,ambrosia bistro,portuguese,contemporary cuisine,loule,loule,maestro card mastercard visa visa electron
617845,buddha house restaurant and garden,asian,after work,loule,almancil,credit card mastercard visa
408673,borges,varied,contemporary cuisine,loule,loule,credit card maestro card mastercard visa visa electron
594229,arcadas do fado,portuguese,central location,loule,almancil,credit card mastercard visa
805029,cervejaria ribadouro loule,seafood,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
310141,mr freddie,portuguese,good for groups,loule,almancil,credit card mastercard visa
408647,barbacoa steak house portugues,steakhouse,contemporary cuisine,loule,loule,credit card mastercard visa
806791,ravinala,international,after work,loule,almancil,mbway mbway credit card visa
756091,don juan,steakhouse,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
753984,restaurante sabores,steakhouse,after work,loule,quarteira,mbway mbway credit card maestro card visa visa electron
201820,henrique leis,international,author,loule,loule,american express credit card mastercard visa
408667,don giovanni,pizzeria,good for families,loule,almancil,credit card mastercard visa
563483,brava,european,after work,loule,almancil,credit card mastercard visa
806804,rio,portuguese,after work,loule,quarteira,mbway mbway maestro card mastercard
302389,new fat frog,portuguese,cosy,loule,almancil,credit card mastercard visa
807268,austa,mediterranean,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa
743838,grego,greek,author,loule,almancil,mbway mbway credit card mastercard visa visa electron
343941,coriander lounge,indian,good for groups,loule,almancil,mastercard visa
290077,green valley,european,contemporary cuisine,loule,almancil,credit card visa
437123,tapas vinho,international,good for business lunch,loule,almancil,credit card mastercard visa
801020,sushi ya fusion almancil,japanese,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
752563,alma,french,author,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
739763,italian republic almancil,italian,bachelor party,loule,almancil,mbway mbway
800644,restaurante casa da quinta,portuguese,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
408661,piri piri almancil,portuguese,not available,loule,almancil,
65152,le marquis,international,contemporary cuisine,loule,faro,
737288,donkey bar restaurant,portuguese,contemporary cuisine,loule,boliqueime,mbway mbway
800374,dona steakhouse,steakhouse,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa electron
756927,vivant,international,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
64951,thai bistro,thai,good for business lunch,loule,almancil,
800637,taberna poco almancil by lucia ribeiro,portuguese,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
65225,figueiral,international,good for business lunch,loule,almancil,mastercard visa
344911,bellarosa,italian,bistro,loule,almancil,credit card mastercard visa
742942,oscars bar kitchen,international,after work,loule,quarteira,mbway mbway credit card maestro card mastercard visa
450867,the magnolia hotel restaurant,international,good for business lunch,loule,almancil,credit card visa
540491,restaurante gamboa,portuguese,central location,loule,almancil,credit card mastercard visa
804891,domar restro bar,nepalese,after work,loule,almancil,mbway mbway credit card maestro card visa
64741,willie,european,author,loule,quarteira,mastercard visa
72176,bovino steakhouse,steakhouse,contemporary cuisine,loule,almancil,american express credit card mastercard visa
334845,raizes,portuguese,terrace,loule,faro,credit card mastercard visa
428575,restaurante bar pinhal,portuguese,homemade cuisine,loule,quarteira,credit card mastercard visa visa electron
752576,amara restaurant,international,after work,loule,almancil,mbway mbway credit card maestro card mastercard visa visa electron
737071,monky,asian,after work,faro,faro,credit card mastercard mbway visa
805603,esboco,international,after work,faro,faro,mbway mbway credit card visa
806148,wow sushi bar faro,fusion,after work,faro,faro,mbway mbway credit card mastercard visa visa electron
508743,my omeu,european,after work,faro,faro,cash
801019,sushi ya fusion faro,japanese,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
804429,marisqueira gimbras,portuguese,after work,faro,faro,mbway mbway credit card maestro card visa
805527,petiscaria decanter,portuguese,author,faro,faro,mbway mbway credit card visa visa electron
806640,natsu ramen bubble tea,japanese,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
734457,kaira sushi,japanese,birthday,faro,faro,mbway mbway
539199,travessa tapas wines,portuguese,after work,faro,faro,credit card mastercard visa
755836,santa maria petisca ria,mediterranean,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
553715,restaurante tia ana,mediterranean,after work,faro,faro,american express credit card mastercard visa
653901,alameda,portuguese,author,faro,faro,american express credit card mastercard mbway visa
803110,zebra cantina italiana,italian,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
718828,restaurante rui,portuguese,brasserie,faro,faro,mbway mbway
708439,bottle wine food,international,contemporary cuisine,faro,faro,credit card mbway
364169,taberna ze ze,portuguese,good for families,faro,faro,credit card
806279,karpa,japanese,creative,faro,faro,american express credit card mastercard
735829,ato,mediterranean,contemporary cuisine,faro,faro,maestro card visa
802818,restaurante habito,mediterranean,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
557337,pizzeria italiana bell antonio,pizzeria,after work,faro,faro,credit card mastercard visa
687531,seven cuts,steakhouse,after work,faro,faro,credit card mastercard visa visa electron
729368,eva steakhouse,steakhouse,birthday,faro,faro,mbway mbway
803152,the flower bar coffee shop,vegan cuisine,author,faro,faro,mbway mbway credit card maestro card mastercard visa
701295,sal mare praia de faro,steakhouse,after work,faro,faro,mbway credit card visa visa electron
733662,cidade velha rooftop,portuguese,bistro,faro,faro,mbway mbway
801021,ramen ya,japanese,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
335163,spikes,mediterranean,bistro,faro,loule,credit card mastercard visa
750145,cervejaria boheme faro,portuguese,author,faro,faro,mbway mbway credit card maestro card mastercard visa
660719,forno nero,pizzeria,after work,faro,faro,credit card mastercard visa visa electron
731865,conselheiro,portuguese,fine dining,faro,faro,american express apple pay credit card mastercard mbway visa
695625,restaurante vanguarda madeirense,portuguese,after work,faro,faro,credit card mastercard visa visa electron
737271,bel mare gastrobar,european,contemporary cuisine,faro,faro,mbway mbway
805945,meu sonho restaurante,portuguese,after work,faro,faro,mbway mbway credit card maestro card mastercard visa
202833,cidade velha,portuguese,good for families,faro,faro,credit card mastercard visa
748296,epicur wine boutique food,international,after work,faro,faro,mbway mbway credit card maestro card mastercard visa
673509,adao,fusion,after work,faro,faro,credit card mastercard visa visa electron
439271,marsol,portuguese,traditional,faro,faro,credit card
722104,afecto,mediterranean,author,faro,faro,mbway mbway
70822,vila adentro,portuguese,after work,faro,faro,credit card mastercard visa visa electron
803226,la cucina,italian,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
669165,restaurante cinderela,mediterranean,birthday,faro,faro,american express credit card mastercard visa visa electron
548419,tertulia algarvia,mediterranean,after work,faro,faro,credit card mastercard visa visa electron
578031,iguaria camponesa,portuguese,good for ceremonies,faro,faro,credit card mastercard visa
724764,ceu,south american,creative,faro,faro,apple pay mbway mbway maestro card mastercard mbway visa
803402,restaurante 100 temperos,mediterranean,after work,faro,faro,mbway mbway credit card maestro card visa visa electron
727393,oriental thai food,thai,after work,faro,faro,mbway mbway
64493,ria formosa restaurante,mediterranean,author,faro,faro,credit card mastercard visa
497057,aperitivo bar,portuguese,after work,faro,faro,american express credit card visa
456013,lodo,seafood,good for business lunch,faro,faro,credit card visa
272825,visconde pousada de faro,portuguese,garden,faro,faro,credit card diners club card mastercard visa
752414,com raw food club,international,after work,faro,faro,mbway mbway credit card maestro card mastercard visa visa electron
467179,castelo restaurante bar terraza,portuguese,oceanfront,faro,faro,credit card mastercard visa
750025,oliveira,portuguese,after work,faro,faro,mbway mbway credit card mastercard visa visa electron
337325,taska algarvia,portuguese,traditional,faro,faro,credit card visa
705605,grandbar lounge wyndham grand algarve,european,bistronomic,faro,almancil,mbway mbway credit card
801022,fasian ya,japanese,after work,faro,olhao,mbway mbway credit card maestro card mastercard visa visa electron
745340,costa do sol,portuguese,author,faro,olhao,mbway mbway visa electron
727691,limoni,italian,birthday,faro,almancil,mbway mbway
801460,nature coffee bistro,mediterranean,after work,faro,almancil,mbway mbway credit card maestro card mastercard visa visa electron
746742,cestaria bistro de artesao,portuguese,bachelor party,faro,olhao,mbway mbway maestro card mastercard visa visa electron
748635,playa,international,after work,faro,olhao,mbway mbway credit card maestro card mastercard visa visa electron
705595,caravela wyndham grand algarve,international,birthday,faro,almancil,mbway mbway credit card
64896,tucano,mediterranean,great view,faro,almancil,american express mastercard visa
520019,tapas lendas,portuguese,after work,faro,olhao,credit card mastercard visa
801123,xxl by olivier quinta do lago,international,author,faro,almancil,american express credit card mastercard mbway visa
722705,tacho avo,portuguese,birthday,faro,olhao,mbway mbway
546833,petiscais restaurante cervejaria petiscaria,mediterranean,after work,faro,olhao,credit card mastercard visa
426209,taska,mediterranean,not available,faro,olhao,
660435,ammar mar,mediterranean,after work,faro,olhao,credit card mastercard visa visa electron
450863,danos sports bar restaurant,pub grub,brasserie,faro,quinta do lago,credit card visa
745725,la gamba marisqueira,seafood,brasserie,faro,olhao,mbway mbway credit card maestro card mastercard visa electron
742875,wine time by tapas lendas,portuguese,central location,faro,olhao,mbway mbway credit card mastercard visa
211371,pizza na pedra,italian,oceanfront,faro,olhao,credit card diners club card visa
629397,hola torito,mexican,good for families,faro,olhao,visa visa electron
613899,alma temperada,mediterranean,after work,faro,olhao,credit card mastercard visa
65233,casa do lago,international,good for families,faro,almancil,american express mastercard visa
652283,mogno,international,good for families,faro,olhao,visa visa electron
65218,passos,portuguese,great view,faro,vale do lobo,
73039,sushi moment,japanese,bachelor party,faro,olhao,credit card visa
751439,mare shrimp stuff,mediterranean,author,faro,olhao,mbway mbway credit card maestro card mastercard visa electron
66797,casa velha,european,contemporary cuisine,faro,almancil,american express mastercard visa
747816,palco,portuguese,contemporary cuisine,coimbra,coimbra,apple pay credit card maestro card mastercard visa
674091,refeitro da baixa,international,contemporary cuisine,coimbra,coimbra,apple pay credit card mastercard mbway visa visa electron
756301,ma restaurante,japanese,author,coimbra,coimbra,american express credit card mastercard mbway visa
738144,allopizza,italian,cosy,coimbra,coimbra,credit card
756294,notes bar kitchen,portuguese,after work,coimbra,coimbra,american express credit card mastercard mbway visa
732733,la divina pizzeria,pizzeria,cosy,coimbra,coimbra,credit card
736393,peixe do mercado,portuguese,after work,coimbra,coimbra,credit card
805806,restaurante bodega brasileira,brazilian,after work,coimbra,coimbra,credit card
723757,antonio dos leitoes porta larga,portuguese,cafe,coimbra,coimbra,cash
731347,devaneio bistro wine bar,international,after work,coimbra,coimbra,credit card
432009,shari sushi bar,japanese,contemporary cuisine,coimbra,coimbra,credit card maestro card visa electron
738343,justsushi coimbra,japanese,after work,coimbra,coimbra,credit card
712333,spaghetti notte,italian,contemporary cuisine,coimbra,coimbra,credit card mastercard visa
575123,no tacho,portuguese,good for families,coimbra,coimbra,mastercard visa
731673,restaurante cordel maneirista,portuguese,author,coimbra,coimbra,credit card
727498,maria rio,portuguese,after work,coimbra,coimbra,credit card
316753,honorato coimbra,portuguese,author,coimbra,coimbra,american express credit card mastercard visa
720182,terraco da alta,portuguese,contemporary cuisine,coimbra,coimbra,credit card mastercard visa
670899,cervejaria reduto,portuguese,after work,coimbra,coimbra,credit card
64972,solar do bacalhau,portuguese,live music,coimbra,coimbra,check credit card mastercard visa
451513,simone coffee shop,international,good for families,coimbra,coimbra,credit card visa
540961,petisqueira portuguesa,portuguese,cosy,coimbra,coimbra,credit card visa
752812,petisqueira navegadores,portuguese,after work,coimbra,coimbra,credit card
742803,piscinas do mondego,portuguese,after work,coimbra,coimbra,credit card
754487,fogo tradicao,steakhouse,cosy,coimbra,coimbra,credit card
756371,tasca conceito,portuguese,author,coimbra,coimbra,credit card
728353,lucia,portuguese,good for families,coimbra,coimbra,credit card
204763,republica da saudade,portuguese,traditional,coimbra,coimbra,credit card mastercard visa
736274,terraco bairrada,international,after work,coimbra,coimbra,credit card
203825,compostu tavern,portuguese,trendy,coimbra,coimbra,credit card
741515,rio mondego ii,portuguese,after work,coimbra,coimbra,credit card
727512,manjar do lambucas,portuguese,lunch,coimbra,coimbra,credit card
680119,palativm restaurante,european,after work,coimbra,sao silvestre,apple pay credit card mastercard visa
468801,loggia,portuguese,after work,coimbra,coimbra,american express credit card mastercard visa
543029,gavius restaurante,european,cosy,coimbra,condeixa nova,credit card mastercard visa visa electron
739072,locomotiva ba61 restaurante,venezuelan,contemporary cuisine,coimbra,pampilhosa do botao,credit card maestro card mastercard visa
66695,arcadas,european,brasserie,coimbra,santa clara,credit card visa
730263,museu da chanfana,portuguese,cosy,coimbra,miranda do corvo,credit card mastercard visa
65220,manuel julio,portuguese,not available,coimbra,casal comba,american express mastercard visa
64858,trovador,portuguese,good for groups,coimbra,coimbra,mastercard visa
743970,burguezia do leitao,portuguese,good for business lunch,coimbra,casal comba,credit card
737928,safra restaurante,portuguese,cosy,coimbra,rio de vide,credit card
803015,acude coimbra,international,contemporary cuisine,coimbra,santa clara,credit card mastercard mbway visa
723740,restaurante castico,portuguese,after work,coimbra,mealhada,credit card
739469,couceiro dos leitoes,portuguese,good for business lunch,coimbra,mealhada,credit card
66696,pedro ines,portuguese,author,coimbra,santa clara,american express mastercard visa
470547,quinta das queimadas panorama,portuguese,garden,braganca,braganca,credit card mastercard visa
563013,cavaleiro,portuguese,cosy,braganca,gimonde,credit card mastercard visa
743357,galinha da vizinha braganca,grilled,cosy,braganca,braganca,credit card mastercard visa
800650,gorgonzola pizzaria restaurante,portuguese,cosy,braganca,braganca,american express credit card maestro card mastercard visa visa electron
713366,cabra preta,international,author,castelo branco,castelo branco,credit card mastercard visa
723224,di mario ristorante pizzeria,italian,cosy,guarda,guarda,credit card mastercard visa
719731,aquarius,mediterranean,after work,guarda,guarda,american express credit card mastercard mbway visa
755010,pizzaria central,pizzeria,central location,guarda,guarda,credit card
671921,maharani leiria,indian,after work,leiria,leiria,credit card mastercard visa visa electron
64760,restaurante saloon quinta do paul,portuguese,good for business lunch,leiria,leiria,visa
747241,pizzaria luzzo leiria,pizzeria,after work,leiria,leiria,credit card maestro card mastercard visa visa electron
807202,palhota carioca,mediterranean,cosy,leiria,nha grande,credit card maestro card mbway
752016,steakhouse chefe artur,steakhouse,after work,leiria,fatima,credit card maestro card mastercard mbway visa visa electron
696851,kabuki sushi leiria,japanese,good for families,leiria,leiria,american express credit card visa
724327,koboru,japanese,after work,leiria,leiria,credit card
733710,gulloso restaurante,portuguese,after work,leiria,fatima,credit card mastercard visa visa electron
752608,restaurante dinis,portuguese,good for families,leiria,regueira de pontes,credit card maestro card mastercard visa visa electron
451467,cave,european,romantic,leiria,fatima,credit card mastercard visa
77544,mosteiro do leitao,portuguese,good for groups,leiria,batalha,check credit card mastercard visa
65082,taberna do bacalhau,portuguese,good for families,leiria,fatima,mastercard visa
65078,convite by dom goncalo hotel,european,good for business lunch,leiria,fatima,american express credit card mastercard visa
65229,casarao,portuguese,good for business lunch,leiria,azoia,american express mastercard visa
576019,cabaca,portuguese,good for families,leiria,fatima,
581217,barrote,portuguese,good for families,leiria,vieira de leiria,credit card mbway
671289,frango da villa,portuguese,good for families,leiria,batalha,
370301,vintage,portuguese,contemporary cuisine,leiria,batalha,credit card mastercard visa
705325,turpial,portuguese,traditional,leiria,fatima,credit card mastercard visa visa electron
733531,joao paulo ii,portuguese,after work,leiria,fatima,visa
660927,restaurante bar recinto,portuguese,good for ceremonies,leiria,fatima,american express credit card mastercard visa visa electron
571519,paparica,italian,good for families,leiria,monte real,bancontact credit card mastercard visa visa electron
752053,portalegre palace,portuguese,author,portalegre,portalegre,mbway mbway credit card maestro card mastercard visa visa electron
528361,copy tapa,mediterranean,after work,portalegre,portalegre,credit card
66846,filip,grilled,good for families,portalegre,marvao,mastercard visa
463349,dom manuel,portuguese,cosy,portalegre,marvao,credit card mastercard visa
450399,varanda do alentejo,portuguese,fine dining,portalegre,marvao,check credit card mastercard visa
65242,sever,portuguese,contemporary cuisine,portalegre,marvao,mastercard visa
273433,pousada do marvao,portuguese,fine dining,portalegre,marvao,credit card mastercard visa
273437,pousada mosteiro do crato,portuguese,restaurant hotel,portalegre,crato,credit card mastercard visa
392771,casa dos torricados,portuguese,good for business lunch,santarem,santarem,credit card
692199,blackfrog,fusion,contemporary cuisine,santarem,santarem,visa visa electron
714971,giulietta pizza gelato,pizzeria,cosy,santarem,santarem,credit card
368255,bambu sushi spot,japanese,good for families,santarem,santarem,credit card visa
729460,patio da graca,peruvian,contemporary cuisine,santarem,santarem,credit card visa visa electron
735085,sapori italia,pizzeria,homemade cuisine,santarem,santarem,cash credit card
696907,balcao,portuguese,after work,santarem,santarem,credit card mastercard visa
726677,oh vargas,meat cuisine,birthday,santarem,santarem,credit card mastercard mbway visa electron
735666,amassa,international,creative,santarem,santarem,visa visa electron
683677,di gusto,varied,not available,santarem,santarem,credit card mbway visa
801131,fun hot pot,korean,after work,santarem,santarem,cash credit card mbway
707363,galinha da vizinha santarem complexo aquatico,european,cosy,santarem,santarem,credit card mastercard visa
666447,dois petiscos,international,after work,santarem,santarem,apple pay credit card mastercard mbway visa
368237,tasca santarem,portuguese,after work,santarem,santarem,credit card visa
715901,hamburgueria burguesita,european,cosy,santarem,santarem,credit card visa
666545,pizzas de santarem,italian,after work,santarem,santarem,
743359,galinha da vizinha santarem centro,grilled,cosy,santarem,santarem,credit card mastercard visa
697243,mercearia almeirim,american,after work,santarem,almeirim,credit card mastercard visa visa electron
748157,belluno restaurante,portuguese,after work,santarem,santarem,credit card
806350,ode cellar door,japanese,contemporary cuisine,santarem,vila cha de ourique,credit card visa
752868,news,portuguese,good for families,santarem,almeirim,credit card maestro card mastercard mbway visa visa electron
756255,restaurante 1143,portuguese,after work,santarem,vale da pinta,credit card
740495,oh rio,grilled,contemporary cuisine,santarem,valada,credit card mastercard mbway visa electron
756903,terra bio food co,portuguese,brunch,santarem,almeirim,credit card maestro card mastercard visa visa electron
740379,don formozzini mercato,italian,after work,setubal,setubal,cash
