Willingness to Try Exotic Foods,Importance of Food Presentation,Value for Money in Meals,Preference for Gourmet Restaurants,Interest in Nutritional Content,Frequency of Eating Home-Cooked Meals,Desire for New Culinary Experiences,Preference for Organic or Diet-Specific Foods,Enjoyment of Traditional or Familiar Foods,Willingness to Spend on High-Quality Ingredients,personality,username
5,2,4,5,5,2.0,1,4,5,3,Conscious Eater,ncSJyTBWBJ
2,5,2,2,5,5.0,1,5,1,4,Conscious Eater,2yDwyiSJHG
4,5,3,1,5,1.0,5,3,1,2,Conscious Eater,CXonX3f5Yy
4,1,2,4,5,5.0,1,3,1,5,Conscious Eater,5PNX2oyraT
1,3,3,5,4,3.0,4,3,4,4,Conscious Eater,gOJJNSOgOf
4,4,1,3,3,4.0,1,5,3,5,Conscious Eater,eZnOUjPWwp
4,3,2,1,4,5.0,1,3,2,5,Conscious Eater,ItwBKnXYIe
5,5,5,2,5,4.0,1,3,1,5,Conscious Eater,tssguqk9ay
2,2,3,1,5,4.0,4,4,4,4,Conscious Eater,JaDkZmyBLs
5,4,2,1,5,5.0,1,4,1,5,Conscious Eater,D9d50tPlRO
2,3,5,3,3,5.0,4,5,4,3,Conscious Eater,TCbJUWKp9b
2,2,1,1,3,2.0,3,5,4,5,Conscious Eater,C3G27AMbHr
2,5,1,5,4,3.0,5,4,2,3,Conscious Eater,46SOup2KKQ
5,5,5,3,3,4.0,1,3,4,3,Conscious Eater,UT0XzG1eET
1,5,1,3,5,5.0,5,4,4,2,Conscious Eater,RZWjSBcuVG
2,2,2,2,2,3.0,1,3,4,3,Conscious Eater,8BREIYfDRL
1,3,3,5,5,3.0,4,4,4,5,Conscious Eater,9yLS21g85U
4,1,1,3,2,1.0,4,5,4,2,Conscious Eater,zJWVAFSgru
5,3,4,2,3,5.0,5,5,4,5,Conscious Eater,DUfXyRJcxx
1,5,1,4,3,1.0,4,5,3,5,Fine Dining Connoisseur,s84zuXTfFt
4,5,2,5,5,2.0,5,5,3,5,Fine Dining Connoisseur,kpH38fHApj
3,5,2,5,5,3.0,1,3,1,5,Fine Dining Connoisseur,H7SZPe5P8Z
4,5,1,3,4,5.0,2,5,1,5,Fine Dining Connoisseur,9W9SVLUg92
1,5,1,4,2,1.0,4,5,1,5,Fine Dining Connoisseur,5uUcBs5GHQ
4,5,2,5,3,1.0,5,4,3,2,Fine Dining Connoisseur,2VpXvsZFf7
1,5,1,5,5,2.0,1,5,1,5,Fine Dining Connoisseur,VDyJSlDGeh
1,4,1,5,4,1.0,2,5,1,3,Fine Dining Connoisseur,PwQ2Ic1S0r
3,5,2,5,3,1.0,5,5,1,5,Fine Dining Connoisseur,HSSHS9x8fD
5,2,4,5,3,1.0,3,5,5,5,Fine Dining Connoisseur,sxKcA66UAa
4,3,3,2,5,2.0,2,5,4,5,Fine Dining Connoisseur,gyI5EI8DQ6
2,5,1,5,3,4.0,5,4,1,3,Fine Dining Connoisseur,DVGCNlrsAv
1,5,3,5,5,3.0,5,5,1,5,Fine Dining Connoisseur,usU7ibP40o
5,5,3,5,5,5.0,3,4,4,4,Fine Dining Connoisseur,uAyWG4PAdp
3,4,1,5,4,1.0,1,5,4,5,Fine Dining Connoisseur,S1UsdiGd2K
2,5,2,5,5,2.0,5,5,2,2,Fine Dining Connoisseur,I5AmSEmxQI
1,5,4,5,5,5.0,5,2,4,5,Fine Dining Connoisseur,Y04TqxPd5w
1,3,3,3,4,3.0,5,5,2,5,Fine Dining Connoisseur,PKOcKwO1JH
1,3,3,3,3,2.0,1,3,1,4,Fine Dining Connoisseur,S2CEDnhlws
2,5,1,3,5,1.0,5,4,5,3,Fine Dining Connoisseur,kWKXJy0DU1
4,5,2,4,5,1.0,4,2,1,5,Fine Dining Connoisseur,l2IgIpuWZs
5,1,3,2,2,3.0,4,2,5,1,Low Cost Foodie,d1MqVrXHnM
4,1,2,1,3,4.0,4,1,2,1,Low Cost Foodie,HChl3BZGNe
5,1,4,1,5,3.0,5,5,5,1,Low Cost Foodie,OqowIzOSIN
1,5,3,1,3,1.0,1,2,2,5,Low Cost Foodie,cb6g6heUvX
5,2,5,2,1,5.0,2,4,5,3,Low Cost Foodie,pujrK3rFld
1,3,3,1,1,5.0,4,2,2,4,Low Cost Foodie,EhKJawWmRh
1,4,5,2,5,5.0,2,2,2,4,Low Cost Foodie,HFfke2JraV
4,1,5,1,1,2.0,1,2,2,3,Low Cost Foodie,KwDybRwK1w
1,3,4,1,2,3.0,1,1,5,1,Low Cost Foodie,lqJ4pfzuEn
3,4,5,1,3,5.0,4,5,5,4,Low Cost Foodie,bOzETkCEXI
4,1,5,2,4,5.0,1,1,5,1,Low Cost Foodie,FZLyF2UXSx
3,1,3,2,2,4.0,5,5,5,3,Low Cost Foodie,Ntgh7urwkC
4,4,4,3,5,5.0,1,5,5,1,Low Cost Foodie,0y8I61fWyo
1,3,5,1,4,4.0,2,1,2,2,Low Cost Foodie,UaA44okoPt
1,1,5,1,1,5.0,2,2,5,3,Low Cost Foodie,fzeswhmMji
3,5,2,3,2,1.0,4,1,2,4,Low Cost Foodie,F699uo065e
4,2,5,3,1,3.0,1,1,2,1,Low Cost Foodie,RoOs3F83jp
1,3,5,1,1,5.0,1,4,5,1,Low Cost Foodie,yljG8SensM
4,5,5,2,5,3.0,2,1,5,2,Low Cost Foodie,lI7qBpbYAD
1,2,3,2,3,4.0,1,4,2,1,Low Cost Foodie,jy4KjN11m7
2,3,4,3,2,2.0,4,2,2,1,Low Cost Foodie,xrxfkhHYJq
4,2,2,2,5,5.0,5,1,5,4,The Adventurer,czjEqexvBS
5,3,3,5,1,1.0,4,3,1,2,The Adventurer,OtPzPCppWc
5,1,2,2,1,2.0,5,5,4,4,The Adventurer,YtDeitfL2A
5,5,3,1,5,5.0,3,3,5,4,The Adventurer,ae69zrMYsU
5,2,4,5,1,1.0,3,5,5,4,The Adventurer,BFmkJMprzL
3,3,4,4,1,1.0,5,5,1,5,The Adventurer,w37rUk5XOx
5,4,5,2,4,5.0,4,1,4,4,The Adventurer,TODdkBWnKy
3,5,4,1,3,2.0,3,1,4,5,The Adventurer,ZQwp23wv4y
4,5,5,2,4,4.0,4,1,5,3,The Adventurer,N9cH9E8ZHp
3,2,1,5,4,5.0,5,1,4,1,The Adventurer,kG5A9V82iw
5,1,5,4,4,1.0,5,5,1,2,The Adventurer,o5s90XQ7Nz
4,3,2,5,1,5.0,4,5,4,4,The Adventurer,Ba4L6aiDAQ
5,2,1,4,1,2.0,5,3,5,5,The Adventurer,mr8C1RY1Mh
5,3,1,2,2,5.0,5,1,5,4,The Adventurer,3kKPsgoUwt
5,5,1,4,1,4.0,4,5,5,2,The Adventurer,2x9laX4YyQ
3,1,2,4,1,1.0,5,1,4,5,The Adventurer,50X07HG6mx
5,5,2,3,5,5.0,4,2,2,2,The Adventurer,rxAL7Gx4tz
4,4,4,1,2,2.0,5,4,5,5,The Adventurer,vhsdWqDfom
4,3,4,4,4,2.0,3,1,5,5,The Adventurer,82ocUW0ZHO
2,2,3,2,4,5.0,5,1,4,4,The Adventurer,GZaR1AaIC0
5,5,1,5,3,1.0,4,5,3,5,The Adventurer,qgdFfG2YVX
4,4,3,1,1,5.0,3,2,2,2,Comfort Food Lover,wMq8QL0VSd
1,3,2,3,1,5.0,1,4,2,1,Comfort Food Lover,Xfa2ELMtHQ
4,4,2,5,4,2.0,1,3,5,4,Comfort Food Lover,rLs4Q6TuLP
2,3,4,2,1,3.0,1,3,2,3,Comfort Food Lover,JBXOfDO9fY
1,5,3,1,1,3.0,1,2,4,2,Comfort Food Lover,1YVOo9Tznw
4,4,5,1,2,4.0,1,4,5,5,Comfort Food Lover,DlTEvMqM82
4,4,2,1,1,4.0,3,4,5,1,Comfort Food Lover,IJynCRihEt
2,3,5,1,1,5.0,3,4,2,3,Comfort Food Lover,4IU23lJ5Eb
1,3,1,2,4,2.0,3,4,2,4,Comfort Food Lover,u1Y2weqmxE
3,4,5,1,3,5.0,3,1,3,1,Comfort Food Lover,IQTgGVwHTy
4,4,5,1,4,4.0,3,5,4,5,Comfort Food Lover,lRtrqZQWiG
1,4,5,3,2,3.0,4,4,5,5,Comfort Food Lover,NcBMLt2548
1,5,5,4,2,5.0,3,1,5,4,Comfort Food Lover,NTsakjnMNo
1,1,2,1,4,4.0,3,1,5,5,Comfort Food Lover,rwSv5ep1HI
1,5,5,1,1,3.0,1,2,5,1,Comfort Food Lover,eD1u0Uzzkd
3,4,3,3,1,5.0,4,1,5,1,Comfort Food Lover,6I0VvTuAKr
1,5,5,1,1,3.0,1,5,3,5,Comfort Food Lover,RO867vk1QV
2,4,2,1,4,3.0,3,5,2,3,Comfort Food Lover,2OYnXJ5wTX
1,5,3,1,4,5.0,1,2,5,4,Comfort Food Lover,hg87NJg4CX
3,1,2,1,1,2.0,1,1,2,3,Comfort Food Lover,1PoiJ1TmVa
1,1,5,1,1,2.0,3,4,5,1,Comfort Food Lover,CyO8FsYiHr
1,4,1,1,4,5.0,1,3,2,4,Comfort Food Lover,PTSO8IbmHP
4,4,4,1,1,4.0,3,5,5,2,Comfort Food Lover,iHmZKp0Jln
1,4,5,3,3,3.0,1,1,2,1,Comfort Food Lover,LjOD4dpPeg
2,1,1,2,1,3.0,2,5,3,1,Comfort Food Lover,Lk0yrS2DU1
4,4,3,5,2,5.0,1,5,4,5,Comfort Food Lover,puIPkJtYqp
4,4,2,1,4,4.0,1,5,5,5,Comfort Food Lover,43QdolrZG5
3,5,2,1,2,5.0,1,5,3,1,Comfort Food Lover,rTIkWkcro2
1,2,2,3,4,3.0,1,5,3,5,Comfort Food Lover,iNNDieV6D5
5,1,4,2,1,5.0,1,2,5,4,Comfort Food Lover,SIMw1GGe3r
3,3,2,1,1,3.0,2,1,5,4,Comfort Food Lover,2tpbOXrRUt
3,4,4,4,1,2.0,1,3,5,3,Comfort Food Lover,OxXtSBwSI4
1,1,4,5,4,3.0,3,3,5,3,Comfort Food Lover,q5QloCLWbm
1,4,4,3,1,2.0,1,1,5,4,Comfort Food Lover,YKcVkCcrST
1,2,3,1,4,4.0,1,5,4,4,Comfort Food Lover,6CDcIQIiTz
3,2,3,3,1,3.0,3,5,4,5,Comfort Food Lover,N7CbU2boWK
1,3,2,3,4,2.0,2,1,3,4,Comfort Food Lover,XMxpfB3KRw
1,4,5,1,5,5.0,3,5,5,1,Comfort Food Lover,mmzY9K8ZJD
4,2,5,4,2,3.0,1,1,4,1,Comfort Food Lover,4Iyr2Uc5fb
1,1,2,1,5,3.0,3,2,5,1,Comfort Food Lover,Q2XcerKYiN
1,1,4,1,4,5.0,1,1,5,1,Comfort Food Lover,ELlZndzTC8
4,4,1,1,2,5.0,3,2,5,5,Comfort Food Lover,NtrIEDHEmu
1,2,5,3,1,4.0,1,5,3,1,Comfort Food Lover,RdPL1dJ1IC
1,1,5,4,1,2.0,1,1,2,1,Comfort Food Lover,c0wawWupnY
1,5,5,5,4,5.0,1,4,5,1,Comfort Food Lover,V1CRa5DgOU
1,1,2,1,4,3.0,3,4,4,5,Comfort Food Lover,AJMeAvaFRb
1,4,4,1,1,2.0,3,1,5,3,Comfort Food Lover,JIHCb6EGFH
4,3,2,4,1,5.0,1,4,3,1,Comfort Food Lover,tsnCmF96vK
4,1,2,2,1,5.0,1,1,3,2,Comfort Food Lover,r9Zo3JmffV
2,2,3,4,5,4.0,1,5,5,5,Comfort Food Lover,76jb18nVUO
2,1,1,2,1,5.0,1,3,3,1,Comfort Food Lover,8FmzptlhVk
1,1,5,3,5,5.0,3,5,5,2,Comfort Food Lover,vkYtmK54lD
1,1,1,1,1,5.0,3,5,5,1,Comfort Food Lover,RbhKaJoecc
1,4,3,1,4,4.0,4,2,5,5,Comfort Food Lover,mqHqn3jo05
5,1,2,3,1,5.0,3,3,5,1,Comfort Food Lover,V6x6RehuEV
4,1,2,3,2,4.0,1,2,3,1,Comfort Food Lover,WnblDgM8cY
1,4,3,4,4,4.0,1,4,4,5,Comfort Food Lover,Y4QLAFfJhp
3,4,5,1,4,3.0,3,2,5,5,Comfort Food Lover,xN0FOKv4e0
2,5,5,4,1,4.0,4,3,5,5,Comfort Food Lover,f25FXVEieO
3,5,5,3,2,5.0,1,5,5,5,Comfort Food Lover,S7QwcT10yo
1,1,5,3,5,5.0,4,2,3,2,Comfort Food Lover,CpeCD0kR1L
1,4,4,1,3,2.0,1,1,2,1,Comfort Food Lover,typKaDKGaj
5,5,3,1,5,3.0,1,5,5,1,Comfort Food Lover,JNVjkZlmAo
1,2,5,1,2,4.0,1,1,5,5,Comfort Food Lover,tHZpwRweTq
3,1,4,1,4,5.0,1,1,3,4,Comfort Food Lover,vXXItOxpta
2,3,1,1,1,5.0,1,1,5,1,Comfort Food Lover,Wj0aHNBWYD
5,2,5,5,4,4.0,1,5,4,2,Comfort Food Lover,BLBsBURXxY
3,2,5,2,1,5.0,1,1,5,2,Comfort Food Lover,jhqtqR6uEM
2,4,3,1,4,5.0,2,5,3,5,Comfort Food Lover,g5rUYMcijE
1,2,5,1,1,5.0,1,4,4,1,Comfort Food Lover,CNCyNMpmdA
2,3,1,3,3,5.0,1,4,5,1,Comfort Food Lover,FNR6Jy57pF
1,2,5,2,5,4.0,1,5,5,5,Comfort Food Lover,C3TSMZehRx
1,5,5,1,4,5.0,1,2,3,2,Comfort Food Lover,EWAk4cEeJ1
3,4,1,1,4,3.0,1,1,2,1,Comfort Food Lover,jFwcjKtHnU
4,5,5,3,2,5.0,4,2,5,2,Comfort Food Lover,fQNysJQtW2
2,5,3,5,5,5.0,1,3,4,1,Comfort Food Lover,FrMxCJieZI
1,4,5,1,1,5.0,1,4,5,2,Comfort Food Lover,tqvWNbNfdE
1,2,5,1,5,4.0,4,1,3,2,Comfort Food Lover,YAkEwdg2ea
4,5,5,2,4,3.0,1,5,3,1,Comfort Food Lover,DmB9gk2gCR
4,5,5,2,1,4.0,3,5,5,2,Comfort Food Lover,Q86fq6IXbF
2,1,2,3,3,2.0,1,1,5,1,Comfort Food Lover,vlSi0ScifB
1,5,5,1,5,5.0,1,2,4,2,Comfort Food Lover,mfx14mf3Ya
1,4,2,2,1,5.0,1,5,5,1,Comfort Food Lover,GhK1l5aWRB
4,5,5,1,1,4.0,1,2,5,5,Comfort Food Lover,pjqoAqspWs
3,4,5,4,4,5.0,2,3,3,1,Comfort Food Lover,QqbsVp8Sko
4,5,3,3,5,5.0,1,2,5,1,Comfort Food Lover,xogyVniGvF
4,1,5,4,5,5.0,1,4,5,1,Comfort Food Lover,ZePww6GKE0
1,1,2,1,1,5.0,1,3,3,3,Comfort Food Lover,OfWOKF2V1h
2,4,1,3,1,5.0,2,3,3,1,Comfort Food Lover,2Rrt5oQGxr
5,2,5,1,1,3.0,4,5,5,2,Comfort Food Lover,TXYzL6tAAc
1,1,3,2,2,5.0,4,3,3,5,Comfort Food Lover,dgyZeILMtS
1,5,5,1,4,3.0,3,1,5,2,Comfort Food Lover,SjUVZQnWqC
1,5,2,3,1,5.0,3,1,3,1,Comfort Food Lover,o8iDJug7SD
4,1,3,1,1,5.0,1,2,3,4,Comfort Food Lover,umri3rsCw6
1,1,5,3,1,3.0,4,4,4,4,Comfort Food Lover,T8vTii8Yi6
3,1,5,1,1,5.0,1,1,5,4,Comfort Food Lover,jswQCFYujE
1,1,1,1,1,3.0,2,1,5,1,Comfort Food Lover,8zpegeULP9
5,3,1,2,4,3.0,1,5,3,1,Comfort Food Lover,g77gb0WVk0
1,3,4,2,1,2.0,1,1,5,3,Comfort Food Lover,9a5WSJW091
3,1,2,1,5,3.0,4,4,4,4,Comfort Food Lover,DBEvavRSev
3,2,3,4,1,5.0,4,4,5,2,Comfort Food Lover,2dmn8SerwT
5,4,1,2,3,5.0,1,5,5,1,Comfort Food Lover,VuftE9KoGa
3,1,5,1,3,2.0,3,1,3,4,Comfort Food Lover,zQ1utMrlPp
1,4,2,5,2,3.0,1,5,4,1,Comfort Food Lover,lygvv593vG
1,3,4,1,1,3.0,1,1,3,3,Comfort Food Lover,Fq7uUrbUuZ
2,1,2,5,5,5.0,4,1,5,5,Comfort Food Lover,vqa5aPyZ7s
2,4,2,1,3,5.0,3,3,3,1,Comfort Food Lover,443WpFRPcP
2,4,5,1,3,5.0,3,1,2,1,Comfort Food Lover,BeAtVrl8nu
1,3,1,1,3,3.0,2,5,2,3,Comfort Food Lover,iAimBzkSow
2,4,5,5,4,4.0,3,4,5,5,Comfort Food Lover,lnqfCQyWQH
1,2,5,1,1,5.0,1,2,4,2,Comfort Food Lover,tr9gc75sOf
1,4,4,1,4,2.0,1,1,3,1,Comfort Food Lover,JHP0QtlJbX
1,5,5,1,1,5.0,2,5,3,5,Comfort Food Lover,zh3CJ5WLch
2,3,1,1,4,5.0,2,3,5,4,Comfort Food Lover,bAtJcpP4Cr
5,2,3,4,1,5.0,1,2,5,5,Comfort Food Lover,gvb5SF7S5T
4,1,2,4,4,4.0,1,1,4,3,Comfort Food Lover,HXTCcwzdoK
4,1,3,5,4,4.0,1,5,5,5,Comfort Food Lover,XYP5XMdG7E
1,4,1,3,4,5.0,2,3,5,3,Comfort Food Lover,YU3uFKX16w
2,1,2,1,2,5.0,4,5,5,5,Comfort Food Lover,AbOV99ZFly
2,4,1,2,1,5.0,1,1,2,4,Comfort Food Lover,0cfZR9kJ52
4,5,5,2,5,5.0,4,5,3,1,Comfort Food Lover,962bYxA2WK
4,2,5,3,2,3.0,4,1,3,5,Comfort Food Lover,Dj5GwxYVzR
2,1,2,4,1,2.0,1,3,3,4,Comfort Food Lover,DxDtcsjq9Z
5,1,4,1,4,5.0,3,3,5,1,Comfort Food Lover,ireOpyKhgv
1,4,2,3,5,4.0,1,5,3,1,Comfort Food Lover,9HYg7hVTwN
4,5,5,1,2,4.0,1,2,3,4,Comfort Food Lover,ygiCHhzku0
4,2,5,1,1,5.0,4,1,5,2,Comfort Food Lover,POw9XTWN3k
1,5,5,5,2,5.0,3,5,3,2,Comfort Food Lover,ckbOKx9Pg6
2,1,5,2,3,3.0,1,1,5,3,Comfort Food Lover,Iedb8BmmFB
2,3,5,1,1,2.0,2,1,5,4,Comfort Food Lover,s2fZ1Du87o
1,4,5,3,1,4.0,4,4,5,1,Comfort Food Lover,G56KiNNbvO
2,4,4,2,3,5.0,1,3,5,1,Comfort Food Lover,Z5tHZUY0GI
1,5,5,1,4,5.0,4,5,5,4,Comfort Food Lover,y6oF6PtOzS
1,1,5,4,2,5.0,4,2,5,4,Comfort Food Lover,o0xJRWNCtT
2,1,1,1,1,5.0,2,4,5,1,Comfort Food Lover,VfH1qCbt8M
3,1,5,4,2,5.0,4,5,5,4,Comfort Food Lover,5X5PZO94nF
1,4,5,5,1,5.0,1,1,5,1,Comfort Food Lover,FxhuSWcITy
1,1,3,1,2,5.0,3,1,3,5,Comfort Food Lover,NCGHvMUt3x
1,3,5,5,1,5.0,2,1,2,1,Comfort Food Lover,Xg8B225u25
5,3,2,3,3,2.0,1,1,2,4,Comfort Food Lover,Z6Do4HvKRC
1,4,5,4,5,5.0,4,1,3,4,Comfort Food Lover,uD96TL4YIo
5,1,2,2,2,4.0,1,1,5,3,Comfort Food Lover,CRwb5pHAaO
2,4,3,4,4,3.0,4,5,4,1,Comfort Food Lover,rekK05uDsx
1,1,3,5,2,5.0,1,4,4,4,Comfort Food Lover,uSszuJvzvz
2,1,5,1,1,5.0,3,3,3,4,Comfort Food Lover,Kqx7KcEtmD
1,2,5,1,5,5.0,3,1,5,2,Comfort Food Lover,P2QTiiNFtC
2,5,5,4,4,5.0,3,3,5,1,Comfort Food Lover,YM8p2xmMQm
3,1,5,3,4,5.0,1,5,3,1,Comfort Food Lover,Aj2qufRo6r
1,1,5,1,4,5.0,1,5,3,4,Comfort Food Lover,eM2m9fW4CP
4,2,5,1,4,5.0,3,1,5,4,Comfort Food Lover,buLsdjbKzC
2,2,3,1,2,5.0,4,2,4,1,Comfort Food Lover,qGrAnlMkL1
1,5,5,3,1,5.0,1,4,3,2,Comfort Food Lover,2reZ0Pxsze
4,3,1,1,4,5.0,1,5,2,1,Comfort Food Lover,UMmDbZtpxX
1,1,1,1,1,3.0,3,1,2,3,Comfort Food Lover,68UtuI1yV3
4,4,3,1,2,5.0,3,4,4,4,Comfort Food Lover,AtbTZsyIUz
4,4,5,4,4,2.0,2,2,2,1,Comfort Food Lover,rYN5ap6JjH
4,4,3,4,2,3.0,4,3,5,5,Comfort Food Lover,kqAahHd5Mb
3,5,3,1,4,5.0,3,5,5,4,Comfort Food Lover,zAcDsGXMc8
4,1,5,2,3,5.0,2,3,4,2,Comfort Food Lover,8xQCu9vW9W
4,2,5,1,1,5.0,1,2,4,2,Comfort Food Lover,O5FO0BuNJO
4,2,3,1,2,5.0,1,1,5,5,Comfort Food Lover,jl7mkjDYBs
1,3,4,1,1,5.0,1,1,3,1,Comfort Food Lover,zOueFV4DVB
5,5,3,4,1,5.0,4,4,3,4,Comfort Food Lover,cdULp1RLT2
2,2,5,2,2,5.0,1,1,4,1,Comfort Food Lover,ZECewsGkBw
2,1,1,1,1,5.0,1,1,2,4,Comfort Food Lover,r2r9dumkAR
4,1,2,1,5,5.0,4,1,3,4,Comfort Food Lover,wtmD9WLp04
1,4,4,2,1,2.0,3,3,2,1,Comfort Food Lover,dMLakTg2Et
3,2,5,4,4,3.0,1,2,3,4,Comfort Food Lover,V7TlqJVrFy
4,1,2,2,4,3.0,1,1,3,4,Comfort Food Lover,7wppAxlAeJ
1,5,2,1,1,5.0,1,1,5,2,Comfort Food Lover,nacIqX8rRd
2,4,1,1,1,3.0,1,5,2,1,Comfort Food Lover,Xsx76K0g9H
1,5,5,5,1,3.0,1,1,5,2,Comfort Food Lover,wBNYlBvjgV
1,1,5,1,3,3.0,2,4,5,3,Comfort Food Lover,Ij6MoTF4VS
3,1,1,1,1,5.0,3,5,5,1,Comfort Food Lover,tKLQ3LhByy
3,4,4,1,4,3.0,2,1,5,1,Comfort Food Lover,m7Uk3bK6Od
3,4,2,1,3,5.0,3,1,2,3,Comfort Food Lover,BpvL1R393U
4,4,3,1,2,4.0,1,5,5,5,Comfort Food Lover,iXIVD4gtrv
2,3,1,2,4,2.0,1,3,5,3,Comfort Food Lover,eGCmYJ5oet
1,1,1,1,1,5.0,1,3,5,1,Comfort Food Lover,58U0jDXuLJ
2,5,5,1,1,5.0,4,4,5,2,Comfort Food Lover,LOOfikDCU2
3,2,2,5,4,3.0,1,3,3,2,Comfort Food Lover,Hd5HFCkEtF
1,4,5,3,4,3.0,3,5,5,1,Comfort Food Lover,JPsYZyib4A
2,4,2,2,3,2.0,1,1,5,4,Comfort Food Lover,XfY5Y7VyBv
5,1,2,1,3,2.0,1,4,3,1,Comfort Food Lover,4T7EhC0y9M
1,1,2,4,2,4.0,1,5,3,2,Comfort Food Lover,qgYR4WbKPB
1,4,5,3,1,5.0,3,5,5,1,Comfort Food Lover,g6UpWBvVwo
3,4,3,3,4,5.0,1,5,5,4,Comfort Food Lover,aXfTdW3zr7
4,4,5,1,4,5.0,1,1,5,2,Comfort Food Lover,GybBBH9f5R
4,2,3,1,2,3.0,4,4,5,4,Comfort Food Lover,uLLntXLfpd
1,1,5,1,1,4.0,4,5,5,5,Comfort Food Lover,bgB9zJhjYY
1,5,2,1,5,5.0,3,2,5,5,Comfort Food Lover,nQ1PKrjpTn
3,4,2,1,2,3.0,1,1,5,4,Comfort Food Lover,Goq8OZRFiR
1,5,2,1,1,3.0,3,2,5,2,Comfort Food Lover,MYGR53PkLm
1,4,5,1,2,4.0,1,5,5,1,Comfort Food Lover,mev1f8crZG
1,1,1,1,1,5.0,1,1,2,1,Comfort Food Lover,F1tnmykAQf
4,5,5,1,4,5.0,4,1,4,5,Comfort Food Lover,Ag7YJZyIQQ
1,1,2,5,3,5.0,1,4,5,3,Comfort Food Lover,pCY55Sgvwc
1,5,3,1,5,5.0,1,5,3,4,Comfort Food Lover,mkqD1cuFTS
5,4,4,1,1,2.0,1,3,5,1,Comfort Food Lover,6cMTb5EmkI
1,1,1,1,3,2.0,1,1,5,4,Comfort Food Lover,cNE3m00fDB
4,4,5,1,4,3.0,3,3,5,4,Comfort Food Lover,OrJ2Qp54w2
1,1,2,4,3,5.0,1,1,5,1,Comfort Food Lover,XdN0O9qehM
1,4,2,1,5,5.0,1,5,4,4,Comfort Food Lover,iJeK7f8Y6q
3,1,2,2,1,2.0,2,1,3,1,Comfort Food Lover,J0TZZ3hvlL
4,2,5,3,2,5.0,3,5,4,5,Comfort Food Lover,ferGPk3bmZ
1,1,2,3,1,3.0,2,5,5,4,Comfort Food Lover,c1v9NB3V8L
2,1,5,2,4,5.0,1,1,2,1,Comfort Food Lover,U89mNtLDaz
3,4,4,1,3,5.0,1,1,5,1,Comfort Food Lover,bJ7CDNbT6C
4,1,5,4,1,4.0,1,5,4,2,Comfort Food Lover,C2taTsK4yC
3,4,2,1,1,2.0,3,4,2,4,Comfort Food Lover,HWYKXj0Yrz
4,5,3,4,1,5.0,4,1,3,1,Comfort Food Lover,EcrLOSJJ2A
2,1,2,2,1,5.0,1,3,3,3,Comfort Food Lover,WZTyhwZEHJ
3,1,5,2,1,5.0,3,1,5,1,Comfort Food Lover,jY7ciEzVVS
4,4,5,1,4,3.0,1,5,5,1,Comfort Food Lover,pKALq4UGn1
4,4,2,1,2,5.0,1,1,5,5,Comfort Food Lover,IMtWYz6djW
1,1,3,3,2,3.0,1,5,4,2,Comfort Food Lover,FpIK6Qo4Kp
